City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Novobiryusinskiy,RU,2021-06-08 14:06:31,56.9578,97.7076,59.34,73,24,4.76
145,La Ronge,CA,2021-06-08 14:06:31,55.1001,-105.2842,53.82,94,90,3.44
146,Havelock,US,2021-06-08 14:06:31,34.8791,-76.9013,80.98,87,75,5.99
147,Upernavik,GL,2021-06-08 14:06:31,72.7868,-56.1549,37.67,84,0,2.62
148,Novita,CO,2021-06-08 14:06:32,4.9551,-76.6053,75.15,95,100,1.1
149,Samarai,PG,2021-06-08 14:06:32,-10.6167,150.6667,78.94,85,48,14.09
150,Roald,NO,2021-06-08 14:06:32,62.5833,6.1333,68.11,67,20,6.91
151,Akyab,MM,2021-06-08 14:06:33,20.15,92.9,83.62,79,99,7.18
152,Jibuti,DJ,2021-06-08 14:06:33,11.5,42.5,90.82,18,53,6.17
153,Oyama,JP,2021-06-08 14:06:33,36.3,139.8,75.58,64,10,1.9
154,Saryg-Sep,RU,2021-06-08 14:06:34,51.5,95.6,57.04,49,0,4.41
155,Kharhial,IN,2021-06-08 14:06:34,20.2833,82.7667,87.82,54,100,5.93
156,Flin Flon,CA,2021-06-08 14:06:34,54.7682,-101.865,58.35,71,7,2.44
157,Pisco,PE,2021-06-08 14:05:10,-13.7,-76.2167,63.01,86,59,3.94
158,Calatayud,ES,2021-06-08 14:06:30,41.3535,-1.6432,89.55,23,1,4.72
159,Pekan,MY,2021-06-08 14:06:35,3.4836,103.3996,80.71,85,14,6.42
160,Wagga Wagga,AU,2021-06-08 14:06:35,-35.1167,147.3667,43.61,100,40,0.49
161,Constitucion,CL,2021-06-08 14:06:35,-35.3333,-72.4167,57.34,62,35,8.52
162,Narsaq,GL,2021-06-08 14:06:35,60.9167,-46.05,64.62,52,17,10.36
163,Penzance,GB,2021-06-08 14:06:36,50.1186,-5.5371,62.71,83,40,12.66
164,Makakilo City,US,2021-06-08 14:06:36,21.3469,-158.0858,73.72,78,1,4.61
165,Fare,PF,2021-06-08 14:06:36,-16.7,-151.0167,78.94,78,50,14.65
166,Sept-Iles,CA,2021-06-08 14:06:37,50.2001,-66.3821,65.12,49,11,16.98
167,Joshimath,IN,2021-06-08 14:06:37,30.5667,79.5667,72.91,67,1,1.74
