City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Labuhan,ID,80.29,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
419,Lasa,IT,75.11,overcast clouds,46.6166,10.7002,Schlanders
421,San Cristobal,VE,79.92,broken clouds,7.7669,-72.225,San Cristobal
423,Karratha,AU,74.88,overcast clouds,-20.7377,116.8463,Karratha
424,Tete,MZ,74.12,broken clouds,-16.1564,33.5867,Tete
425,Puerto Colombia,CO,81.01,overcast clouds,10.9878,-74.9547,Sabanilla Montecarmelo
429,Kupang,ID,76.12,broken clouds,-10.1667,123.5833,Kupang
430,Fomboni,KM,78.37,clear sky,-12.28,43.7425,Fomboni
433,Cilegon,ID,82.29,broken clouds,-6.0174,106.0538,Cilegon
434,Winslow,US,73.96,clear sky,35.0242,-110.6974,Winslow
435,Madimba,TZ,76.77,broken clouds,-10.4,40.3333,Madimba
439,Lata,PT,85.05,clear sky,40.1629,-8.3327,Coimbra
440,West Lorne,CA,79.95,broken clouds,42.6001,-81.5998,West Lorne
441,Albion,US,80.2,overcast clouds,42.2431,-84.75299999999999,Albion
443,Turan,VN,84.25,broken clouds,16.0678,108.2208,Da Nang
446,Xinmin,CN,70.05,broken clouds,41.9908,122.8253,Shenyang
447,Urumqi,CN,79.75,few clouds,43.801,87.6005,Ürümqi
449,Shawnee,US,81.05,broken clouds,39.05,-95.7669,Topeka
450,Tezu,IN,75.72,overcast clouds,27.9167,96.1667,Tezu
451,Tongliao,CN,70.99,overcast clouds,43.6125,122.2653,Tongliao
455,Nizwa,OM,85.86,broken clouds,22.9333,57.5333,Nizwa
456,Lapeer,US,81.25,overcast clouds,43.0514,-83.3188,Lapeer
458,Dicabisagan,PH,80.15,light rain,17.0818,122.4157,Ilagan
460,Panzhihua,CN,71.19,overcast clouds,26.5851,101.7128,Panzhihua
462,Jardim,BR,75.27,overcast clouds,-21.4803,-56.1381,Jardim
465,Pangkalanbuun,ID,75.83,overcast clouds,-2.6833,111.6167,Pangkalan Bun
466,Palestine,PS,74.93,scattered clouds,31.9216,35.2033,Jerusalem
467,Rome,US,81.88,broken clouds,34.257,-85.1647,Rome
469,Coahuayana,MX,86.83,few clouds,18.7333,-103.6833,Coahuayana de Hidalgo
472,Muros,ES,79.68,few clouds,42.7762,-9.0603,Muros
473,Champerico,GT,87.35,overcast clouds,14.3,-91.9167,Champerico
475,Yangjiang,CN,78.78,broken clouds,21.85,111.9667,Yangjiang
476,Evanston,US,82.15,broken clouds,42.0411,-87.6901,Evanston
477,Porbandar,IN,86.56,few clouds,21.6422,69.6093,Porbandar
478,Brownsville,US,87.03,broken clouds,25.9018,-97.4975,Matamoros
479,Fukuma,JP,77.09,overcast clouds,33.7667,130.4667,Fukutsu
480,Proletariy,RU,70.41,scattered clouds,58.4342,31.7046,Proletariy
481,Puerto Leguizamo,CO,75.61,overcast clouds,-0.1934,-74.7819,Puerto Leguízamo
483,Ca Mau,VN,78.49,overcast clouds,9.1769,105.15,Cà Mau
484,Rio Bananal,BR,84.67,clear sky,-19.265,-40.3333,Rio Bananal
485,Bereda,ES,76.41,few clouds,43.2686,-7.5406,A Feira do Monte
487,Bozhou,CN,81.25,light rain,33.8772,115.7703,Bozhou
489,Abonnema,NG,84.85,moderate rain,4.7084,6.7931,Degema
490,Prabumulih,ID,75.61,overcast clouds,-3.45,104.25,Prabumulih
494,Lorengau,PG,80.76,broken clouds,-2.0226,147.2712,Lorengau
495,Shelburne,CA,72.9,overcast clouds,44.0787,-80.2041,Mono
496,Bouca,CF,75.22,overcast clouds,6.5105,18.2733,Bouca
498,Axim,GH,84.34,light rain,4.8699,-2.2405,Axim
502,Hat Yai,TH,82.58,few clouds,7.0084,100.4767,Hat Yai
504,Porto Novo,BJ,73.22,moderate rain,6.4965,2.6036,Porto-Novo
505,Seevetal,DE,76.57,clear sky,53.4,9.9667,Hamburg
506,Kudahuvadhoo,MV,83.66,broken clouds,2.6708,72.8944,Kudahuvadhoo
